min_p_cent,max_p_grad,max_radius,max_uv,fraction_of_time_in_GLR,maturity_glr0_minus_genesis_ratio,sup_ttl_precip,mi_ttl_precip,huron_ttl_precip,erie_ttl_precip,ont_ttl_precip,sup_ttl_evap_anom,mi_ttl_evap_anom,huron_ttl_evap_anom,erie_ttl_evap_anom,ont_ttl_evap_anom,lat_gen,lon_gen,year,month,season,amo_unsmoothed_value,ao_value,ea_wr_value,enso_best_value,ipo_value,nao_value,pdo_value,pna_value,pol_value,qbo_value,wp_value,raw_cluster,k2_posterior,k2_cluster,storm_type
979.4561896,35.15999758,1331.609932,87.79157436,0.178571429,0.25,0.018547313,0.015032047,0.012556786,0.012253078,0.011502522,-0.000691972,-0.000237336,-0.000501739,-0.001505486,-0.000677529,46.1711766,-106.9150194,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,1,0.9999708116237301,1,Type 1 (Earlier-entry storms)
1000.020387,18.51272059,883.6594025,74.05896735,0.285714286,0.714285714,0.000373343,0.008318901,0.006695274,0.021154219,0.013275188,0.000890839,-0.000565212,0.000143931,-0.000791968,0.000313993,36.99224485,-102.5424398,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,0,0.999999950988378,2,Type 2 (Later-entry storms)
968.513773,32.38365247,999.24888,105.2737587,0.058823529,0.0,0.000188801,0.008318474,0.006694909,0.021153732,0.01327471,0.000800975,-0.000578812,8.94e-05,-0.000636862,0.000441008,43.47276336,-79.58089221,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,1,0.9999853768906577,1,Type 1 (Earlier-entry storms)
951.8496927,42.35399399,1374.180992,126.5696122,0.086956522,0.0,0.00080501,0.000933101,0.003238507,0.010897805,0.008476627,0.001102716,-0.000496304,-0.000398393,-0.002850751,-0.00197881,39.66506845,-80.86284899,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,1,0.9999988043906505,1,Type 1 (Earlier-entry storms)
1006.486677,10.84007229,371.5735636,76.85454493,0.833333333,0.166666667,0.005846837,0.00759985,0.011157442,0.010780847,0.009244355,0.000994743,-0.000632543,9.94e-06,-0.002143163,-0.001566338,49.36785291,-98.58663277,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,0,0.9999999997471241,2,Type 2 (Later-entry storms)
965.3236395,33.10302646,1483.413642,111.4989175,0.208333333,0.0,0.005166594,0.007943287,0.009927044,0.01031733,0.010394009,0.000768599,-0.000553345,0.000282466,-0.001219681,-0.000358718,47.52592743,-94.80219009,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,1,0.9999110312244289,1,Type 1 (Earlier-entry storms)
1008.697966,16.97843449,614.1638341,50.84950926,0.375,0.625,0.006167171,0.011136819,0.004584688,0.012912159,0.006414965,0.00113996,0.001312476,0.001050611,0.001400822,0.001579776,36.798156,-95.89754847,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,0,0.9999999810290279,2,Type 2 (Later-entry storms)
975.2323045,25.95917255,1427.020496,80.96775082,0.28,0.2,0.004301712,0.012007059,0.012407403,0.012615054,0.012914766,-0.001430657,-0.002426615,-0.001120295,-0.004705928,-0.006650784,52.27796048,-115.2472481,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,1,0.9938729932847346,1,Type 1 (Earlier-entry storms)
983.401529,32.19414968,1027.421608,87.35718754,0.032258065,0.032258065,0.006088977,0.010798275,0.00648955,0.018600453,0.02399292,0.000940121,0.001646843,0.000990969,0.00196237,0.001603288,37.37079577,-76.8536569,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,1,0.9999951607943106,1,Type 1 (Earlier-entry storms)
981.3795383,30.2775212,1054.087495,107.7358018,0.125,0.083333333,0.00311092,0.00927528,0.006670624,0.019198832,0.026845273,0.001168673,0.002144499,0.001474543,0.002553509,0.002140552,34.49439797,-75.75923397,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,1,0.999950873354168,1,Type 1 (Earlier-entry storms)
991.9274661,20.41568682,984.4057394,111.7580576,0.428571429,0.571428571,0.005911018,0.016346018,0.00571468,0.021260513,0.025742659,0.000432566,0.002144391,0.000846511,0.002229191,0.001742247,44.39959637,-103.5801324,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,0,0.9999522225587485,2,Type 2 (Later-entry storms)
969.7997527,33.88382251,1620.449819,66.19170422,0.263157895,0.315789474,0.032060444,0.026143662,0.032444742,0.024595854,0.016854847,-0.001916604,0.001045283,0.000714426,0.002066903,0.0011545,38.70411177,-102.9363499,1950,3,MAM,-0.010376614,0.327130391,-2.036102707,-1.348897494,-0.830574882,-0.560345198,-0.504693148,0.238851639,0.588336502,-6.788621303,-0.495408252,1,0.9996053822074086,1,Type 1 (Earlier-entry storms)
986.5427414,27.0224231,908.9626496,80.10544229,0.8,0.2,0.045246329,0.022727686,0.011774307,0.008220706,0.007591743,-0.003167202,-0.003966275,-0.003544321,-0.005204466,-0.004634323,39.11079946,-102.2315009,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,0,0.9999828460019747,2,Type 2 (Later-entry storms)
994.38422,15.69116678,458.5667547,123.9681124,0.571428571,0.285714286,0.00671036,0.00579948,0.008352849,0.011180901,0.014201292,0.000790614,0.002512021,0.002266433,0.003484138,0.001932111,52.90865677,-92.29061004,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,0,0.9998114779523152,2,Type 2 (Later-entry storms)
989.7405729,23.84660529,1406.377636,131.0696124,0.045454545,0.363636364,0.00651005,0.004107996,0.007629089,0.00744111,0.013340123,1.65e-05,0.001707168,0.001781529,0.003027138,0.001883504,50.41054824,-127.9620592,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,1,0.9785919339122641,1,Type 1 (Earlier-entry storms)
1003.827872,16.91987192,340.2722749,54.97159889,0.0,0.0,0.001415035,0.001476322,0.002104973,0.002957871,0.01314606,-0.000642144,0.000373074,0.000728691,0.001053705,0.0007671,40.98746768,-72.84757826,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,1,0.9999929329048349,1,Type 1 (Earlier-entry storms)
992.0358444,16.44558577,1022.666573,147.4181062,0.0,0.454545455,0.019225431,0.039280559,0.01853122,0.044730426,0.018551087,-0.000664692,0.000607232,2.6e-05,0.002453868,0.000461535,50.11074112,-113.8457292,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,0,0.8216656226239087,2,Type 2 (Later-entry storms)
990.2430631,19.07769035,894.2894325,75.74262825,0.375,0.625,0.012158335,0.020543467,0.023627477,0.045482124,0.029441161,-0.001656986,-7.38e-05,-8.84e-05,0.003119486,0.002656287,50.0614103,-109.5765614,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,0,0.9999965157017318,2,Type 2 (Later-entry storms)
972.2319626,36.86613983,692.4263615,81.73182939,0.0,0.0,0.000937477,0.007456549,0.003282267,0.001275477,0.002548087,-2.02e-05,-0.001294634,-0.001235906,-0.002118154,-0.001204341,41.930284,-72.52279414,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,1,0.999999690241884,1,Type 1 (Earlier-entry storms)
981.5432378,26.78738154,1076.405122,94.61933564,0.461538462,0.0,0.010922787,0.014772993,0.017864908,0.035343099,0.026429212,-0.002361554,-0.001390742,-0.000760201,0.000975434,0.000401557,41.63139876,-84.92948046,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,1,0.9144025348281444,1,Type 1 (Earlier-entry storms)
1014.906241,13.3732232,753.9111954,98.23710943,0.571428571,0.428571429,0.004644586,0.008080742,0.002159238,0.001907549,0.002456747,-0.001291048,-0.003464187,-0.00221239,-0.005180046,-0.003915083,55.5398503,-103.1647176,1950,4,MAM,-0.035580442,0.889584363,-2.735582985,-1.209234922,-0.990846998,0.869299513,-0.576067792,0.068392627,-0.091224099,-4.349780152,-0.615150046,0,0.9999998756580151,2,Type 2 (Later-entry storms)
979.3367239,29.74213655,1300.316241,76.83630056,0.026315789,0.0,0.018142898,0.040172566,0.018878552,0.043949069,0.012432343,-0.000794343,0.000654125,-0.000167881,0.002230464,-2.97e-05,43.42545756,-77.85572195,1950,5,MAM,0.036215729,0.406038334,1.174936736,-1.139572351,-1.360119114,-0.281055777,-1.607442437,-0.102066385,0.359215301,-2.250939,0.11510816,1,0.9999927199177316,1,Type 1 (Earlier-entry storms)
990.452392,22.79998609,1576.390019,113.7953404,0.08,0.08,0.020278536,0.006468204,0.007325003,0.011248709,0.014716346,4.35e-05,0.001222888,0.000893662,0.00332299,0.000584859,47.59241438,-96.99047434,1950,5,MAM,0.036215729,0.406038334,1.174936736,-1.139572351,-1.360119114,-0.281055777,-1.607442437,-0.102066385,0.359215301,-2.250939,0.11510816,1,0.9999476497416665,1,Type 1 (Earlier-entry storms)
991.8196563,22.09458647,1023.833113,128.496871,0.333333333,0.0,0.023295914,0.030235911,0.018559802,0.040485825,0.018550957,-0.001630347,-0.001277046,-0.000404783,0.001497702,0.000231709,41.33973933,-90.13609423,1950,5,MAM,0.036215729,0.406038334,1.174936736,-1.139572351,-1.360119114,-0.281055777,-1.607442437,-0.102066385,0.359215301,-2.250939,0.11510816,1,0.9855519902861166,1,Type 1 (Earlier-entry storms)
